orig/dest node ,ID,coordinates,eigenvector
dest_label,507,"139.7668389,35.69636092",0.184183006
dest_label,1047,"139.6916144,35.69467596",0.184183006
dest_label,1016,"139.745531,35.66203467",0.183142428
dest_label,1017,"139.7538057,35.63696412",0.182101851
dest_label,1051,"139.7037923,35.66398901",0.182101851
dest_label,1007,"139.7570442,35.68431018",0.181061273
dest_label,1008,"139.7418047,35.68723724",0.181061273
dest_label,1009,"139.7543978,35.67335735",0.180020695
dest_label,1010,"139.7828377,35.68697357",0.178980117
dest_label,1011,"139.7720878,35.67964466",0.177939539
dest_label,1018,"139.7353411,35.65164471",0.177939539
dest_label,1023,"139.7235183,35.62339142",0.177939539
dest_label,1046,"139.7054059,35.69702138",0.177939539
dest_label,1052,"139.7110099,35.64998239",0.177939539
dest_label,1074,"139.7903151,35.63279825",0.177939539
dest_label,1013,"139.7745685,35.66998822",0.176898961
dest_label,1015,"139.7259117,35.67034591",0.176898961
dest_label,1038,"139.7097207,35.72781321",0.176898961
dest_label,1012,"139.7655765,35.67051251",0.175858383
dest_label,1045,"139.7227033,35.68557888",0.174817805
dest_label,1050,"139.6994244,35.67840857",0.174817805
dest_label,1024,"139.7439541,35.61712843",0.173777227
dest_label,1037,"139.7293076,35.73465323",0.173777227
dest_label,1125,"139.5615518,35.70807085",0.173777227
dest_label,1041,"139.761848,35.70762469",0.17273665
dest_label,1049,"139.7184147,35.70289695",0.17273665
dest_label,900,"139.9020224,35.64286339",0.171696072
dest_label,1053,"139.6800175,35.67391643",0.171696072
dest_label,1042,"139.7438859,35.7111742",0.170655494
dest_label,1060,"139.7743237,35.71854476",0.170655494
dest_label,1019,"139.7302876,35.63740051",0.169614916
dest_label,1124,"139.5604214,35.68476942",0.168574338
dest_label,1040,"139.7538668,35.72391625",0.16753376
dest_label,1025,"139.7340215,35.59835554",0.166493182
dest_label,1044,"139.7352426,35.70163352",0.166493182
dest_label,1081,"139.6397615,35.70590766",0.166493182
dest_label,1084,"139.6070025,35.69722391",0.166493182
dest_label,1088,"139.6416671,35.6230338",0.166493182
dest_label,1131,"139.4664105,35.67548488",0.165452604
dest_label,1145,"139.4649487,35.53898121",0.165452604
dest_label,1014,"139.7790324,35.65777559",0.164412026
dest_label,1048,"139.6917738,35.71712659",0.164412026
dest_label,1079,"139.6748936,35.70599871",0.164412026
dest_label,1122,"139.5404373,35.65276807",0.164412026
dest_label,1155,"139.3839387,35.6240288",0.163371449
dest_label,1020,"139.7045167,35.63454693",0.162330871
dest_label,1036,"139.7148346,35.5625941",0.162330871
dest_label,1022,"139.6892333,35.64785201",0.161290293
dest_label,1029,"139.7186254,35.57677553",0.161290293
dest_label,1059,"139.7862782,35.70297098",0.161290293
dest_label,1058,"139.7884656,35.71271137",0.160249715
dest_label,1082,"139.6507129,35.68215948",0.160249715
dest_label,1087,"139.6714428,35.64180982",0.160249715
dest_label,1133,"139.5110479,35.70104903",0.160249715
dest_label,1021,"139.6808978,35.61920867",0.159209137
dest_label,1043,"139.7314637,35.71996232",0.159209137
dest_label,1031,"139.7696799,35.55199857",0.158168559
dest_label,705,"139.6365633,35.53949007",0.157127981
dest_label,1093,"139.6381256,35.64687005",0.157127981
dest_label,1030,"139.7572248,35.57975848",0.156087403
dest_label,1105,"139.7356571,35.76131306",0.156087403
dest_label,1101,"139.7025104,35.75068756",0.155046825
dest_label,1149,"139.4342272,35.62162696",0.154006248
dest_label,1026,"139.7106939,35.611439",0.15296567
dest_label,1066,"139.8001083,35.69497339",0.15296567
dest_label,1083,"139.6265447,35.68332672",0.15296567
dest_label,1095,"139.6572866,35.73783977",0.15296567
dest_label,1055,"139.7795161,35.73804087",0.151925092
dest_label,1132,"139.4387389,35.68629901",0.151925092
dest_label,739,"139.6662313,35.57313865",0.150884514
dest_label,1073,"139.8083678,35.65666891",0.150884514
dest_label,1104,"139.7156401,35.78123441",0.150884514
dest_label,1130,"139.4987436,35.66587847",0.150884514
dest_label,1134,"139.4614633,35.70546324",0.150884514
dest_label,1070,"139.8320084,35.66476368",0.149843936
dest_label,1086,"139.6610513,35.66186772",0.149843936
dest_label,1092,"139.6271702,35.66082868",0.149843936
dest_label,1135,"139.4988877,35.72664408",0.149843936
dest_label,1139,"139.4092385,35.70922959",0.148803358
dest_label,717,"139.5429657,35.56790765",0.14776278
dest_label,1072,"139.8144215,35.67064958",0.14776278
dest_label,1080,"139.6712381,35.68951083",0.14776278
dest_label,1090,"139.6055519,35.63169093",0.14776278
dest_label,1091,"139.601761,35.66326425",0.14776278
dest_label,1097,"139.5905576,35.73212866",0.14776278
dest_label,1121,"139.5663243,35.66351504",0.14776278
dest_label,1126,"139.5542133,35.73813701",0.14776278
dest_label,1136,"139.4610123,35.72848357",0.14776278
dest_label,706,"139.6254612,35.50514831",0.146722202
dest_label,1078,"139.6521803,35.72152248",0.146722202
dest_label,1100,"139.6880793,35.7653754",0.146722202
dest_label,1106,"139.7442217,35.74438911",0.146722202
dest_label,1120,"139.864997,35.6591891",0.146722202
dest_label,742,"139.6232513,35.60103011",0.145681624
dest_label,751,"139.5445068,35.61106981",0.145681624
dest_label,788,"139.3989001,35.5619657",0.145681624
dest_label,810,"139.5973094,35.80919914",0.145681624
dest_label,1065,"139.813673,35.69721479",0.145681624
dest_label,1075,"139.7995729,35.67318708",0.145681624
dest_label,1109,"139.8112359,35.78472475",0.145681624
dest_label,1129,"139.5199827,35.75399834",0.144641047
dest_label,1146,"139.4565402,35.57848649",0.143600469
dest_label,716,"139.5061402,35.55057047",0.142559891
dest_label,1115,"139.8392082,35.74994195",0.142559891
dest_label,1117,"139.8693279,35.69695556",0.142559891
dest_label,1089,"139.6607187,35.60385406",0.141519313
dest_label,1137,"139.4723993,35.75927471",0.141519313
dest_label,1151,"139.3949259,35.67172644",0.141519313
dest_label,1035,"139.6921517,35.59146391",0.140478735
dest_label,1153,"139.338942,35.68494712",0.140478735
dest_label,750,"139.5706886,35.61930453",0.139438157
dest_label,1103,"139.6688077,35.79063555",0.139438157
dest_label,715,"139.5130357,35.51594971",0.138397579
dest_label,1123,"139.5771967,35.63488352",0.138397579
dest_label,1069,"139.8359308,35.683108",0.137357001
dest_label,1085,"139.6095267,35.71886129",0.137357001
dest_label,1127,"139.5356108,35.73019027",0.137357001
dest_label,1140,"139.4089357,35.69313515",0.137357001
dest_label,747,"139.5801745,35.5825609",0.136316423
dest_label,1154,"139.3394155,35.63446915",0.136316423
dest_label,732,"139.6988564,35.52567143",0.135275846
dest_label,798,"139.7061745,35.84263013",0.135275846
dest_label,1068,"139.8304067,35.69892926",0.135275846
dest_label,1157,"139.3274935,35.65639684",0.135275846
dest_label,736,"139.6917463,35.53480131",0.134235268
dest_label,787,"139.4333536,35.52772311",0.134235268
dest_label,790,"139.3475636,35.58930738",0.134235268
dest_label,811,"139.619845,35.78931433",0.134235268
dest_label,812,"139.5591043,35.80527145",0.134235268
dest_label,817,"139.4647708,35.80122407",0.134235268
dest_label,1028,"139.7134883,35.59052764",0.134235268
dest_label,1098,"139.585516,35.75775182",0.134235268
dest_label,711,"139.5727393,35.5256335",0.13319469
dest_label,1099,"139.6310894,35.75931657",0.13319469
dest_label,1128,"139.5222183,35.78146073",0.13319469
dest_label,1150,"139.4929795,35.63292914",0.13319469
dest_label,1152,"139.403683,35.65279468",0.13319469
dest_label,1171,"139.6300021,35.46052475",0.13319469
dest_label,899,"139.918829,35.67876534",0.132154112
dest_label,1147,"139.3851262,35.59473131",0.132154112
dest_label,893,"140.039482,35.65031014",0.131113534
dest_label,1102,"139.6506132,35.77688066",0.131113534
dest_label,1169,"139.6117987,35.46351347",0.131113534
dest_label,743,"139.618578,35.58335776",0.130072956
dest_label,1111,"139.769647,35.78788634",0.130072956
dest_label,692,"139.5382646,35.39725937",0.129032378
dest_label,740,"139.6520452,35.56509359",0.129032378
dest_label,741,"139.6404892,35.58448928",0.129032378
dest_label,754,"139.511556,35.58810925",0.129032378
dest_label,767,"139.4491,35.3873245",0.129032378
dest_label,710,"139.5817189,35.55385827",0.1279918
dest_label,834,"139.8698491,35.8326155",0.1279918
dest_label,813,"139.5601211,35.77582119",0.126951222
dest_label,1039,"139.6897372,35.73287496",0.126951222
dest_label,1138,"139.400839,35.72538485",0.126951222
dest_label,1108,"139.8011804,35.74801588",0.125910645
dest_label,1114,"139.854527,35.72662459",0.125910645
dest_label,1119,"139.8970821,35.69835739",0.125910645
dest_label,1143,"139.4265412,35.75049748",0.125910645
dest_label,765,"139.469531,35.32823708",0.124870059
dest_label,819,"139.4220794,35.78889353",0.124870059
dest_label,1112,"139.8666858,35.77777795",0.124870059
dest_label,1056,"139.7658736,35.74816947",0.123829474
dest_label,1148,"139.4484397,35.64415389",0.123829474
dest_label,737,"139.6886585,35.54917358",0.122788889
dest_label,753,"139.5139517,35.61150496",0.122788889
dest_label,1158,"139.2941787,35.63310795",0.122788889
dest_label,1164,"139.279023,35.78618122",0.122788889
dest_label,791,"139.3459347,35.55913417",0.121748303
dest_label,820,"139.3674806,35.81789711",0.121748303
dest_label,1094,"139.6595186,35.75814865",0.121748303
dest_label,719,"139.6685559,35.50351952",0.120707718
dest_label,814,"139.5835272,35.83703685",0.120707718
dest_label,1033,"139.6905137,35.56424052",0.120707718
dest_label,1071,"139.8314344,35.63884089",0.120707718
dest_label,1076,"139.8011918,35.6828198",0.120707718
dest_label,738,"139.6662332,35.54618803",0.119667133
dest_label,796,"139.7179082,35.8138702",0.119667133
dest_label,1057,"139.798086,35.72266805",0.119667133
dest_label,1096,"139.6183899,35.74402599",0.119667133
dest_label,691,"139.5742719,35.46240376",0.118626547
dest_label,782,"139.4602964,35.45752333",0.118626547
dest_label,915,"139.9607705,35.79389251",0.118626547
dest_label,986,"139.6302403,35.88666417",0.118626547
dest_label,1159,"139.2793114,35.67541436",0.118626547
dest_label,836,"139.7731336,35.88214154",0.117585962
dest_label,898,"139.9388314,35.70068142",0.117585962
dest_label,1032,"139.7133435,35.54796544",0.117585962
dest_label,1118,"139.8847711,35.73064287",0.117585962
dest_label,904,"140.0516893,35.71494407",0.116545377
dest_label,912,"139.9065541,35.80811759",0.116545377
dest_label,921,"139.9673073,35.90036714",0.116545377
dest_label,906,"139.9901638,35.70307017",0.115504791
dest_label,910,"139.9843903,35.73076969",0.115504791
dest_label,923,"140.0278847,35.87731091",0.115504791
dest_label,996,"139.6478354,35.83788215",0.115504791
dest_label,1077,"139.815395,35.68444016",0.115504791
dest_label,783,"139.4501961,35.50073944",0.114464206
dest_label,1064,"139.8065515,35.70603732",0.114464206
dest_label,1142,"139.3560332,35.70771773",0.114464206
dest_label,1173,"139.6380277,35.44704104",0.114464206
dest_label,777,"139.3440592,35.43339947",0.113423621
dest_label,911,"139.8995348,35.77323648",0.113423621
dest_label,1034,"139.6745243,35.58645444",0.113423621
dest_label,1107,"139.8385353,35.77510687",0.113423621
dest_label,1116,"139.8466707,35.70243341",0.113423621
dest_label,693,"139.5508523,35.43166366",0.112383035
dest_label,701,"139.5277946,35.46065322",0.112383035
dest_label,795,"139.7072737,35.80257627",0.112383035
dest_label,830,"139.7867177,35.84912748",0.112383035
dest_label,894,"139.9402746,35.72761472",0.112383035
dest_label,902,"140.0166772,35.67405663",0.112383035
dest_label,913,"139.9239347,35.83193372",0.112383035
dest_label,1162,"139.3153234,35.76399039",0.112383035
dest_label,724,"139.6479695,35.49371965",0.11134245
dest_label,786,"139.3928914,35.43773644",0.11134245
dest_label,837,"139.7679725,35.92052632",0.11134245
dest_label,920,"139.9738125,35.82620506",0.11134245
dest_label,755,"139.476632,35.60655032",0.110301865
dest_label,799,"139.7420897,35.86220322",0.110301865
dest_label,993,"139.6492708,35.87040679",0.110301865
dest_label,1144,"139.3838793,35.75043498",0.110301865
dest_label,702,"139.5151505,35.48872586",0.109261279
dest_label,722,"139.6560378,35.52073535",0.109261279
dest_label,745,"139.6007048,35.60465133",0.109261279
dest_label,752,"139.5308971,35.62958969",0.109261279
dest_label,990,"139.6191592,35.85138216",0.109261279
dest_label,1067,"139.813861,35.71975672",0.109261279
dest_label,1161,"139.3363283,35.73600741",0.109261279
dest_label,818,"139.4982557,35.81177028",0.108220694
dest_label,838,"139.803334,35.91741093",0.108220694
dest_label,892,"140.0648446,35.63002328",0.108220694
dest_label,1184,"139.5908369,35.4247157",0.108220694
dest_label,725,"139.6331078,35.48385735",0.107180108
dest_label,789,"139.3895161,35.51951265",0.107180108
dest_label,833,"139.8393729,35.81940049",0.107180108
dest_label,839,"139.8125254,35.87588086",0.107180108
dest_label,908,"139.9558399,35.71153118",0.107180108
dest_label,919,"139.9775062,35.8635168",0.107180108
dest_label,1063,"139.82015,35.71217015",0.107180108
dest_label,696,"139.5448808,35.36683886",0.106139523
dest_label,764,"139.5265827,35.33599046",0.106139523
dest_label,831,"139.7900611,35.8206847",0.106139523
dest_label,1110,"139.7758682,35.76415097",0.106139523
dest_label,708,"139.6125502,35.53834927",0.105098938
dest_label,727,"139.6126545,35.48153691",0.105098938
dest_label,821,"139.4819345,35.91278683",0.105098938
dest_label,926,"139.9252979,35.86798845",0.104058352
dest_label,1000,"139.6912048,35.87859421",0.104058352
dest_label,1141,"139.3821591,35.70648178",0.104058352
dest_label,895,"139.9087192,35.72820855",0.103017767
dest_label,896,"139.9156018,35.74906565",0.103017767
dest_label,917,"139.998844,35.77291836",0.103017767
dest_label,997,"139.6756601,35.84958665",0.103017767
dest_label,1027,"139.7591421,35.60166381",0.103017767
dest_label,690,"139.5980343,35.45871925",0.101977182
dest_label,698,"139.5140858,35.42491423",0.101977182
dest_label,802,"139.7378956,35.82643164",0.101977182
dest_label,905,"140.029859,35.7054419",0.101977182
dest_label,806,"139.6898886,35.80907967",0.100936596
dest_label,832,"139.820469,35.85063848",0.100936596
dest_label,909,"140.0518759,35.75738445",0.100936596
dest_label,1054,"139.8014049,35.73482344",0.100936596
dest_label,1172,"139.631663,35.44226483",0.100936596
dest_label,1191,"139.5801929,35.38025957",0.100936596
dest_label,713,"139.5661259,35.50549086",0.099896011
dest_label,721,"139.6803914,35.52694797",0.099896011
dest_label,916,"139.9314831,35.77258065",0.099896011
dest_label,974,"139.5772602,35.92060729",0.099896011
dest_label,800,"139.7632373,35.83393362",0.098855426
dest_label,930,"140.1207554,35.72509161",0.098855426
dest_label,1189,"139.5946404,35.40134668",0.098855426
dest_label,1190,"139.5676947,35.40190062",0.098855426
dest_label,703,"139.4818747,35.47743863",0.09781484
dest_label,726,"139.6228524,35.47229081",0.09781484
dest_label,749,"139.5513062,35.59304079",0.09781484
dest_label,768,"139.4045614,35.33360942",0.09781484
dest_label,784,"139.4091837,35.48759376",0.09781484
dest_label,825,"139.4062636,35.86547228",0.09781484
dest_label,901,"140.0583783,35.69052951",0.09781484
dest_label,918,"139.9557081,35.85546061",0.09781484
dest_label,985,"139.6707518,35.91871222",0.09781484
dest_label,829,"139.8096585,35.82061715",0.096774255
dest_label,907,"139.9807101,35.68395688",0.096774255
dest_label,994,"139.6547354,35.88454861",0.096774255
dest_label,1062,"139.8310292,35.7175019",0.096774255
dest_label,1113,"139.8726048,35.74972744",0.096774255
dest_label,723,"139.6497432,35.47763721",0.09573367
dest_label,1174,"139.6467885,35.44797706",0.09573367
dest_label,718,"139.6894926,35.48269846",0.09573367
dest_label,746,"139.6013232,35.57511939",0.094693084
dest_label,794,"139.7240318,35.79725552",0.094693084
dest_label,808,"139.6640916,35.81475049",0.094693084
dest_label,880,"140.1029216,35.68157186",0.094693084
dest_label,1186,"139.6126393,35.32786464",0.094693084
dest_label,809,"139.6436702,35.81701717",0.093652499
dest_label,861,"139.649473,36.07702522",0.093652499
dest_label,981,"139.6380561,35.90774709",0.093652499
dest_label,991,"139.6524042,35.85886296",0.093652499
dest_label,1166,"139.2938931,35.73264141",0.093652499
dest_label,1185,"139.6320755,35.36226098",0.093652499
dest_label,695,"139.5050044,35.38093647",0.092611914
dest_label,748,"139.5728323,35.59929935",0.092611914
dest_label,879,"140.0555865,35.66584084",0.092611914
dest_label,883,"140.1221102,35.65601562",0.092611914
dest_label,1188,"139.6469563,35.36020109",0.092611914
dest_label,815,"139.5544571,35.85452243",0.091571328
dest_label,824,"139.4343557,35.92537255",0.091571328
dest_label,801,"139.7476426,35.79724491",0.090530743
dest_label,979,"139.6263747,35.90915261",0.090530743
dest_label,984,"139.6543199,35.95035052",0.090530743
dest_label,925,"139.9039617,35.84630738",0.089490158
dest_label,928,"139.8798006,35.96054673",0.089490158
dest_label,995,"139.6411201,35.84917078",0.089490158
dest_label,766,"139.4919623,35.3456325",0.088449572
dest_label,823,"139.4681389,35.88174277",0.088449572
dest_label,700,"139.5528726,35.4731889",0.087408987
dest_label,859,"139.6582516,36.01233739",0.087408987
dest_label,932,"140.1878787,35.72917322",0.087408987
dest_label,937,"140.1409763,35.8119327",0.087408987
dest_label,1160,"139.3492783,35.77424167",0.087408987
dest_label,1175,"139.648318,35.43338639",0.087408987
dest_label,858,"139.7415341,36.03012462",0.086368402
dest_label,914,"139.9361069,35.81541854",0.086368402
dest_label,770,"139.3472905,35.33314023",0.085327816
dest_label,807,"139.6749567,35.80929457",0.085327816
dest_label,816,"139.5157202,35.83296195",0.085327816
dest_label,976,"139.6039502,35.92693992",0.085327816
dest_label,188,"139.5901644,35.47261608",0.085327816
dest_label,855,"139.5500768,36.00302051",0.084287231
dest_label,897,"139.9577669,35.75247373",0.084287231
dest_label,1061,"139.8181591,35.73293302",0.084287231
dest_label,1176,"139.6650858,35.42202442",0.084287231
dest_label,734,"139.7047754,35.51263274",0.083246646
dest_label,803,"139.6863737,35.82284903",0.083246646
dest_label,852,"139.6054332,35.9801737",0.083246646
dest_label,853,"139.5640288,35.96325069",0.083246646
dest_label,882,"140.1034656,35.63590857",0.083246646
dest_label,978,"139.6183793,35.94747506",0.083246646
dest_label,980,"139.6187069,35.90332934",0.083246646
dest_label,1192,"139.5907515,35.44813054",0.083246646
dest_label,848,"139.400149,35.96358946",0.08220606
dest_label,977,"139.6183429,35.93479494",0.08220606
dest_label,1180,"139.6010079,35.37199473",0.08220606
dest_label,842,"139.7606623,35.98215299",0.081165475
dest_label,844,"139.2199415,35.88824053",0.081165475
dest_label,940,"140.3530659,35.80415072",0.081165475
dest_label,992,"139.6594733,35.85350616",0.08012489
dest_label,1170,"139.6153173,35.44880289",0.08012489
dest_label,758,"139.6973576,35.23043166",0.079084304
dest_label,763,"139.5578064,35.31957156",0.079084304
dest_label,903,"140.0148851,35.72391099",0.079084304
dest_label,922,"140.0371036,35.83473018",0.079084304
dest_label,931,"140.1020059,35.75228789",0.079084304
dest_label,1179,"139.614541,35.38469281",0.079084304
dest_label,1187,"139.6062104,35.34757005",0.079084304
dest_label,1156,"139.2252029,35.66491326",0.078043719
dest_label,694,"139.5343414,35.42073127",0.077003134
dest_label,720,"139.6882195,35.5053561",0.077003134
dest_label,729,"139.7458343,35.53104838",0.077003134
dest_label,840,"139.8609319,35.89505875",0.077003134
dest_label,1168,"139.6221012,35.45638927",0.077003134
dest_label,699,"139.4879846,35.41742808",0.075962548
dest_label,712,"139.5601514,35.54466958",0.075962548
dest_label,827,"139.5260207,35.87522674",0.075962548
dest_label,846,"139.2780848,35.97335758",0.075962548
dest_label,929,"140.0864065,35.70861142",0.075962548
dest_label,942,"140.1327775,35.52011271",0.075962548
dest_label,735,"139.7287783,35.53038446",0.074921963
dest_label,805,"139.6983333,35.82180458",0.074921963
dest_label,871,"140.1092682,35.60921953",0.074921963
dest_label,1002,"139.6968685,35.94697637",0.074921963
dest_label,1178,"139.6138863,35.40923243",0.074921963
dest_label,850,"139.4151428,36.03647156",0.073881378
dest_label,890,"140.261835,35.53080461",0.073881378
dest_label,989,"139.5954103,35.86921543",0.073881378
dest_label,1182,"139.6195528,35.42967799",0.073881378
dest_label,704,"139.4990025,35.45360807",0.072840792
dest_label,707,"139.6011672,35.50696024",0.072840792
dest_label,728,"139.5889755,35.4913821",0.072840792
dest_label,757,"139.6765007,35.27310743",0.072840792
dest_label,826,"139.4437299,35.84817667",0.072840792
dest_label,886,"140.1745175,35.61978723",0.072840792
dest_label,987,"139.6153579,35.88586183",0.072840792
dest_label,733,"139.7119866,35.52700691",0.071800207
dest_label,857,"139.5034528,36.07880787",0.071800207
dest_label,1183,"139.6074597,35.43542605",0.071800207
dest_label,268,"139.2867316,35.34936763",0.070759622
dest_label,924,"140.0949645,35.86335932",0.070759622
dest_label,927,"139.9010449,35.90317359",0.070759622
dest_label,778,"139.3195737,35.47868812",0.069719036
dest_label,822,"139.5257212,35.90417576",0.069719036
dest_label,847,"139.3943715,35.93568771",0.069719036
dest_label,988,"139.6293344,35.87041477",0.069719036
dest_label,1001,"139.717378,35.89328655",0.069719036
dest_label,797,"139.7351654,35.79708083",0.068678451
dest_label,856,"139.5305053,36.02602961",0.068678451
dest_label,730,"139.7254266,35.50532165",0.068678451
dest_label,50987,"139.6364026,35.30462667",0.067637866
dest_label,779,"139.2922594,35.41001931",0.067637866
dest_label,828,"139.5061072,35.85638936",0.06659728
dest_label,843,"139.7490629,35.95841423",0.06659728
dest_label,873,"140.139205,35.58993534",0.06659728
dest_label,835,"139.7817754,35.90295314",0.065556695
dest_label,697,"139.5778451,35.35326503",0.06451611
dest_label,934,"140.1792373,35.67162872",0.06451611
dest_label,943,"140.0701806,35.47157688",0.06451611
dest_label,982,"139.6128311,35.91193351",0.06451611
dest_label,1165,"139.2223056,35.81280012",0.06451611
dest_label,965,"140.0832768,35.89609862",0.063475524
dest_label,744,"139.621995,35.56667209",0.062434943
dest_label,780,"139.2370814,35.37007659",0.062434943
dest_label,804,"139.6740695,35.82792475",0.062434943
dest_label,845,"139.3393184,35.8964452",0.062434943
dest_label,463,"139.9755486,35.94778786",0.062434943
dest_label,774,"139.1209344,35.24726885",0.061394361
dest_label,891,"140.0863634,35.6161539",0.060353779
dest_label,970,"140.1852943,35.92250619",0.060353779
dest_label,983,"139.6024778,35.9013475",0.060353779
dest_label,999,"139.6716384,35.87055944",0.060353779
dest_label,762,"139.5913244,35.29894211",0.059313198
dest_label,776,"139.0315104,35.2322522",0.058272616
dest_label,860,"139.6094877,36.1331156",0.058272616
dest_label,866,"139.3810604,36.1232511",0.058272616
dest_label,889,"140.2099157,35.56066679",0.058272616
dest_label,969,"140.1857655,35.97183372",0.058272616
dest_label,792,"139.2979084,35.58110785",0.057232035
dest_label,939,"140.2867861,35.7868327",0.057232035
dest_label,1167,"139.1950951,35.73292595",0.057232035
dest_label,173,"139.622196,35.39987651",0.057232035
dest_label,936,"140.0601307,35.80159378",0.056191453
dest_label,785,"139.4307168,35.44000687",0.055150871
dest_label,881,"140.0882969,35.63544978",0.055150871
dest_label,1181,"139.6238674,35.43589949",0.055150871
dest_label,1163,"139.226359,35.7586995",0.055150871
dest_label,872,"140.1377107,35.61056194",0.05411029
dest_label,998,"139.6861478,35.86002556",0.05411029
dest_label,933,"140.2407947,35.6814429",0.053069708
dest_label,870,"140.1224036,35.60828301",0.053069708
dest_label,714,"139.5371387,35.5262314",0.050988545
dest_label,854,"139.6200392,35.99780222",0.050988545
dest_label,1177,"139.6284277,35.41827301",0.050988545
dest_label,865,"139.2142842,36.10249655",0.049947963
dest_label,868,"139.2659448,36.19825251",0.049947963
dest_label,232,"139.7444432,35.4904141",0.0478668
dest_label,773,"139.1928401,35.29651109",0.0478668
dest_label,51009,"139.1831305,35.53633931",0.0478668
dest_label,874,"140.1319723,35.56040573",0.0478668
dest_label,231,"139.7208405,35.51930562",0.0478668
dest_label,759,"139.659764,35.2516623",0.046826218
dest_label,878,"140.07295,35.65073679",0.046826218
dest_label,884,"140.1442674,35.62950845",0.046826218
dest_label,975,"139.5713985,35.89339994",0.046826218
dest_label,50842,"139.6410983,35.16757805",0.045785637
dest_label,864,"139.4700466,36.14817102",0.045785637
dest_label,867,"139.3564965,36.17443043",0.045785637
dest_label,349,"139.740255,36.07079802",0.044745055
dest_label,964,"140.0358359,35.92217989",0.044745055
dest_label,47540,"139.5040986,35.93998123",0.044745055
dest_label,49957,"139.7241936,35.538173",0.043704474
dest_label,771,"139.3443383,35.36790019",0.043704474
dest_label,962,"140.1165466,36.08730063",0.043704474
dest_label,1005,"139.6966466,35.97647271",0.043704474
dest_label,168,"139.6616087,35.43815423",0.043704474
dest_label,869,"139.1462596,36.19926476",0.042663892
dest_label,448,"140.3015844,35.44980136",0.042663892
dest_label,851,"139.3354725,36.06342507",0.04162331
dest_label,961,"140.1050328,36.05376523",0.04162331
dest_label,781,"139.1930782,35.40923387",0.04162331
dest_label,50851,"139.4187199,35.36373604",0.040582729
dest_label,769,"139.3857002,35.37553723",0.040582729
dest_label,709,"139.6049443,35.55988015",0.039542147
dest_label,888,"140.1696033,35.54641415",0.039542147
dest_label,944,"140.1706011,35.4792124",0.039542147
dest_label,761,"139.6006038,35.27126429",0.039542147
dest_label,863,"139.5532157,36.17263566",0.038501566
dest_label,953,"140.1872558,36.07592598",0.038501566
dest_label,956,"140.2230621,36.01096441",0.038501566
dest_label,756,"139.4802949,35.577127",0.037460984
dest_label,793,"139.2038464,35.6119023",0.037460984
dest_label,885,"140.1325577,35.64046145",0.037460984
dest_label,958,"139.7114384,36.17378443",0.037460984
dest_label,876,"140.1170764,35.6204892",0.036420402
dest_label,439,"139.9657206,35.36399259",0.036420402
dest_label,731,"139.771221,35.52021498",0.036420402
dest_label,49486,"139.1531414,35.60684888",0.036420402
